review_id,order_id,product_id,customer_id,rating,review_text,review_date
R00041,O00004,P0021,C0015,1,Excellent quality and fast shipping!,2024-05-02
R00042,O00102,P0002,C0044,5,Would recommend to friends.,2023-12-16
R00043,O00109,P0033,C0046,5,Love the design and functionality.,2022-06-13
R00044,O00040,P0052,C0080,3,Product works as expected.,2024-12-15
R00045,O00131,P0014,C0003,2,Love the design and functionality.,2024-01-11
R00046,O00084,P0007,C0003,1,Exceeded my expectations!,2022-04-08
R00047,O00112,P0006,C0055,2,Product works as expected.,2024-05-23
R00048,O00112,P0006,C0055,5,"Not as described, requested refund.",2024-06-05
R00049,O00015,P0029,C0014,2,Product works as expected.,2022-09-29
R00050,O00004,P0013,C0015,1,Good value for the price.,2024-05-18
R00051,O00128,P0031,C0056,5,Exceeded my expectations!,2022-10-17
R00052,O00043,P0060,C0037,3,Product works as expected.,2022-12-25
R00053,O00008,P0009,C0070,4,Exceeded my expectations!,2024-03-04
R00054,O00135,P0045,C0056,5,Product works as expected.,2022-06-23
R00055,O00128,P0031,C0056,3,Excellent quality and fast shipping!,2022-10-17
R00056,O00128,P0034,C0056,2,Exceeded my expectations!,2022-10-12
R00057,O00027,P0057,C0061,5,Excellent quality and fast shipping!,2023-01-22
R00058,O00012,P0058,C0023,1,Battery life could be longer.,2024-01-09
R00059,O00094,P0021,C0067,2,Good value for the price.,2023-05-14
R00060,O00010,P0007,C0030,4,"Satisfied overall, but packaging could be better.",2024-12-09
R00061,O00083,P0035,C0012,3,Exceeded my expectations!,2024-11-09
R00062,O00020,P0008,C0047,1,Love the design and functionality.,2024-09-06
R00063,O00014,P0046,C0061,5,Excellent quality and fast shipping!,2023-07-03
R00064,O00103,P0051,C0041,4,Exceeded my expectations!,2023-11-23
R00065,O00080,P0042,C0057,5,Battery life could be longer.,2023-11-25
R00066,O00003,P0019,C0076,3,"Not as described, requested refund.",2024-10-31
R00067,O00078,P0009,C0054,4,"Decent, but I had to contact support.",2024-10-22
R00068,O00127,P0033,C0038,5,"Satisfied overall, but packaging could be better.",2023-06-18
R00069,O00039,P0051,C0020,4,Excellent quality and fast shipping!,2022-05-27
R00070,O00060,P0044,C0033,1,"Decent, but I had to contact support.",2024-11-30
R00071,O00001,P0005,C0038,3,Product works as expected.,2022-03-20
R00072,O00053,P0005,C0039,4,Battery life could be longer.,2024-09-27
R00073,O00016,P0053,C0037,3,Product works as expected.,2024-11-18
R00074,O00012,P0054,C0023,5,Would recommend to friends.,2024-01-30
R00075,O00096,P0027,C0057,1,"Not as described, requested refund.",2022-05-19
R00076,O00025,P0053,C0060,4,Product works as expected.,2022-07-07
R00077,O00016,P0029,C0037,2,"Satisfied overall, but packaging could be better.",2024-11-17
R00078,O00075,P0026,C0064,3,Would recommend to friends.,2022-07-28
R00079,O00084,P0007,C0003,3,"Satisfied overall, but packaging could be better.",2022-04-04
R00080,O00020,P0039,C0047,5,Product works as expected.,2024-08-30
R00081,O00040,P0024,C0080,4,Battery life could be longer.,2024-12-18
R00082,O00081,P0043,C0048,5,"Decent, but I had to contact support.",2024-04-29
R00083,O00054,P0010,C0059,4,Exceeded my expectations!,2023-04-25
R00084,O00031,P0047,C0063,3,"Not as described, requested refund.",2022-08-25
R00085,O00011,P0058,C0003,3,Good value for the price.,2024-12-07
R00086,O00024,P0023,C0002,3,Would recommend to friends.,2024-05-15
R00087,O00132,P0030,C0055,3,Exceeded my expectations!,2024-07-01
R00088,O00045,P0038,C0006,4,Love the design and functionality.,2023-06-01
R00089,O00064,P0042,C0054,1,Good value for the price.,2022-10-15
R00090,O00032,P0018,C0043,2,Good value for the price.,2024-05-09
R00091,O00051,P0020,C0002,1,"Not as described, requested refund.",2024-01-05
R00092,O00067,P0042,C0060,1,"Satisfied overall, but packaging could be better.",2022-04-28
R00093,O00114,P0029,C0035,3,Product works as expected.,2022-02-17
R00094,O00011,P0047,C0003,2,"Not as described, requested refund.",2024-11-12
R00095,O00111,P0028,C0048,4,Excellent quality and fast shipping!,2022-07-11
R00096,O00098,P0053,C0075,2,"Decent, but I had to contact support.",2024-05-15
R00097,O00055,P0010,C0014,3,Battery life could be longer.,2023-01-13
R00098,O00039,P0051,C0020,5,"Not as described, requested refund.",2022-05-17
R00099,O00063,P0003,C0047,4,Love the design and functionality.,2022-08-09
R00100,O00123,P0029,C0045,3,Would recommend to friends.,2023-11-02
R00101,O00036,P0029,C0020,5,"Satisfied overall, but packaging could be better.",2024-02-16
R00102,O00140,P0035,C0031,3,Battery life could be longer.,2022-06-22
R00103,O00140,P0007,C0031,5,Love the design and functionality.,2022-06-21
R00104,O00083,P0053,C0012,2,Excellent quality and fast shipping!,2024-11-04
R00105,O00082,P0020,C0008,3,Excellent quality and fast shipping!,2023-09-12
R00106,O00121,P0045,C0057,5,"Satisfied overall, but packaging could be better.",2024-11-06
R00107,O00041,P0042,C0069,2,Exceeded my expectations!,2023-08-22
R00108,O00137,P0036,C0044,2,"Not as described, requested refund.",2023-01-05
R00109,O00100,P0014,C0013,2,Good value for the price.,2025-01-25
R00110,O00061,P0050,C0018,3,"Not as described, requested refund.",2024-09-28
R00111,O00008,P0043,C0070,3,"Not as described, requested refund.",2024-03-01
R00112,O00037,P0058,C0076,4,Love the design and functionality.,2023-06-27
R00113,O00080,P0050,C0057,1,Product works as expected.,2023-12-08
R00114,O00015,P0018,C0014,2,Excellent quality and fast shipping!,2022-09-27
R00115,O00135,P0010,C0056,3,"Not as described, requested refund.",2022-06-15
R00116,O00052,P0035,C0021,2,"Decent, but I had to contact support.",2022-05-06
R00117,O00016,P0053,C0037,5,Good value for the price.,2024-10-31
R00118,O00029,P0032,C0036,3,Would recommend to friends.,2023-10-10
R00119,O00026,P0046,C0038,3,Good value for the price.,2024-03-11
R00120,O00041,P0029,C0069,4,"Decent, but I had to contact support.",2023-08-28
R00121,O00045,P0010,C0006,5,Good value for the price.,2023-05-27
R00122,O00097,P0015,C0019,3,Good value for the price.,2022-05-07
R00123,O00046,P0003,C0048,5,Would recommend to friends.,2023-11-24
R00124,O00009,P0014,C0056,3,"Not as described, requested refund.",2023-06-05
R00125,O00057,P0038,C0036,4,Good value for the price.,2022-02-12
R00126,O00085,P0016,C0073,3,"Decent, but I had to contact support.",2022-11-23
R00127,O00043,P0021,C0037,3,Battery life could be longer.,2023-01-16
R00128,O00003,P0019,C0076,2,Product works as expected.,2024-10-31
R00129,O00090,P0060,C0042,1,Excellent quality and fast shipping!,2022-02-20
R00130,O00013,P0017,C0024,4,Good value for the price.,2024-07-13
R00131,O00106,P0058,C0048,4,"Decent, but I had to contact support.",2022-08-20
R00132,O00140,P0007,C0031,4,"Not as described, requested refund.",2022-06-13
R00133,O00058,P0054,C0007,1,Excellent quality and fast shipping!,2024-08-15
R00134,O00076,P0048,C0050,3,Product works as expected.,2023-12-17
R00135,O00019,P0017,C0070,4,Good value for the price.,2023-12-25
R00136,O00020,P0008,C0047,1,"Decent, but I had to contact support.",2024-09-23
R00137,O00124,P0044,C0076,2,"Not as described, requested refund.",2024-02-09
R00138,O00112,P0006,C0055,1,"Decent, but I had to contact support.",2024-05-23
R00139,O00053,P0024,C0039,5,Love the design and functionality.,2024-10-03
R00140,O00068,P0059,C0051,2,Product works as expected.,2024-05-25
R00141,O00013,P0017,C0024,5,Battery life could be longer.,2024-07-17
R00142,O00040,P0024,C0080,1,Would recommend to friends.,2024-12-24
R00143,O00023,P0034,C0078,5,Battery life could be longer.,2023-02-03
R00144,O00052,P0019,C0021,2,Good value for the price.,2022-04-26
R00145,O00075,P0020,C0064,1,Exceeded my expectations!,2022-07-16
R00146,O00102,P0019,C0044,3,Product works as expected.,2023-12-22
R00147,O00140,P0007,C0031,3,Would recommend to friends.,2022-06-15
R00148,O00095,P0033,C0062,1,Exceeded my expectations!,2023-10-01
R00149,O00113,P0025,C0072,2,Exceeded my expectations!,2022-02-19
R00150,O00016,P0053,C0037,1,Product works as expected.,2024-11-20
R00151,O00089,P0020,C0004,5,"Satisfied overall, but packaging could be better.",2022-08-07
R00152,O00016,P0029,C0037,5,Would recommend to friends.,2024-11-22
R00153,O00138,P0003,C0066,2,Battery life could be longer.,2024-09-29
R00154,O00077,P0008,C0070,1,Love the design and functionality.,2023-10-27
R00155,O00133,P0040,C0038,5,Good value for the price.,2022-07-20
R00156,O00031,P0047,C0063,2,"Satisfied overall, but packaging could be better.",2022-08-25
R00157,O00050,P0053,C0060,4,Product works as expected.,2024-09-19
R00158,O00112,P0006,C0055,2,"Not as described, requested refund.",2024-06-17
R00159,O00067,P0042,C0060,1,Product works as expected.,2022-05-27
R00160,O00100,P0014,C0013,3,Exceeded my expectations!,2025-01-13
